City,City Latitude,City Longitude,Max Temperture,Humidity,Cloud coverage,Wind Speed,City Country,City DateTime
Cherskiy,68.75,161.3,-5.82,94,18,6.64,RU,1571259085
Albany,42.65,-73.75,12.64,100,90,3.6,US,1571259085
Cockburn Town,21.46,-71.14,30.0,70,75,1.5,TC,1571259085
Punta Arenas,-53.16,-70.91,10.69,70,4,6.7,CL,1571259085
Torbay,47.66,-52.73,11.95,93,90,4.6,CA,1571259086
Busselton,-33.64,115.35,4.25,65,1,1.81,AU,1571259086
Iqaluit,63.75,-68.52,1.83,74,75,3.1,CA,1571259086
Kapaa,22.08,-159.32,26.4,88,75,4.6,US,1571259086
Hithadhoo,-0.6,73.08,27.35,80,91,5.967,MV,1571259086
Pevek,69.7,170.27,-0.77,78,31,2.805,RU,1571259087
Panguipulli,-39.64,-72.33,15.0,54,75,4.6,CL,1571259087
Hilo,19.71,-155.08,26.25,62,20,1.5,US,1571259088
Sal Rei,16.18,-22.92,28.0,83,40,4.6,CV,1571259088
Carnarvon,-30.97,22.13,19.36,13,0,0.267,ZA,1571259088
Lebu,8.96,38.73,15.0,58,40,4.1,ET,1571259089
Jamestown,-33.21,138.6,6.15,91,1,5.331,AU,1571259089
Ginir,7.14,40.71,16.28,68,100,1.499,ET,1571259090
Half Moon Bay,37.46,-122.43,19.39,72,1,5.7,US,1571259090
Barrow,-38.31,-60.23,15.87,63,95,4.528,AR,1571259091
Baripada,21.93,86.73,21.71,86,57,1.28,IN,1571259091
Bredasdorp,-34.53,20.04,15.89,87,0,1.5,ZA,1571259091
Mataura,-46.19,168.86,10.56,83,93,4.02,NZ,1571259091
Lagos,6.46,3.39,22.0,100,40,3.1,NG,1571259092
Yaring,6.87,101.37,28.35,74,100,2.235,TH,1571259092
Souillac,45.6,-0.6,14.78,87,100,4.6,FR,1571259092
Vaini,15.34,74.49,21.06,95,100,2.97,IN,1571259092
Porto Novo,-23.68,-45.44,26.0,57,40,7.7,BR,1571259092
Quatre Cocos,-20.21,57.76,20.5,88,75,6.7,MU,1571259093
Venice,27.1,-82.45,30.17,70,40,4.6,US,1571259093
Hobart,-42.88,147.33,5.59,93,75,3.6,AU,1571259094
Semporna,4.48,118.61,24.0,94,75,1.5,MY,1571259094
Mar del Plata,-46.43,-67.52,12.92,56,0,5.433,AR,1571259094
